Date,Workout,Result,Prescribed,Pukie,Work performed,Work time,Formatted Result,Notes,Description
2016-07-16,FT: 5x Handstand Push-ups and Box Jumps; 4x Muscle-ups and Back Rack...,1906000,false,false,37988,1906000,31 mins 46 secs,So hot,"5 rounds of:
12 Dumbbell Push Press, 35 lbs
10 Box Jumps, 20 in
-- then --
4 rounds of:
5 Chest-to-bar Pull-ups
Back Rack Walking Lunge, 75 lbs, 40 ft
-- then --
50 Double Unders
25 Air Squats"
2016-07-12,Every 1 min for 10 mins: Clean Pull,569.25842435,true,false,0,600000,1255 lbs,,"Every 1 min for 10 mins:
1 Clean Pull | 85 lbs
1 Clean Pull | 105 lbs
1 Clean Pull | 115 lbs
1 Clean Pull | 125 lbs
1 Clean Pull | 125 lbs
1 Clean Pull | 130 lbs
1 Clean Pull | 135 lbs
1 Clean Pull | 140 lbs
1 Clean Pull | 145 lbs
1 Clean Pull | 150 lbs"
2016-07-12,Every 1 min for 15 mins: High Hang Squat Clean,818.73422785,true,false,0,900000,1805 lbs,,"Every 1 min for 15 mins:
1 High Hang Squat Clean | 105 lbs
1 High Hang Squat Clean | 105 lbs
1 High Hang Squat Clean | 105 lbs
1 High Hang Squat Clean | 115 lbs
1 High Hang Squat Clean | 115 lbs
1 High Hang Squat Clean | 115 lbs
1 High Hang Squat Clean | 120 lbs
1 High Hang Squat Clean | 120 lbs
1 High Hang Squat Clean | 120 lbs
1 High Hang Squat Clean | 125 lbs
1 High Hang Squat Clean | 125 lbs
1 High Hang Squat Clean | 130 lbs
1 High Hang Squat Clean | 130 lbs
1 High Hang Squat Clean | 135 lbs
1 High Hang Squat Clean | 140 lbs"
2016-07-12,Every 2 mins for 10 mins: Front Squat Pause,1451.495584,true,false,0,600000,3200 lbs,,"Every 2 mins for 10 mins:
5 Front Squat Pauses | 125 lbs
5 Front Squat Pauses | 125 lbs
5 Front Squat Pauses | 130 lbs
5 Front Squat Pauses | 130 lbs
5 Front Squat Pauses | 130 lbs"
2016-07-12,Burpees : 100 Reps for Time,594000,true,false,50450,594000,9 mins 54 secs,Had 83 at time cap but had to finish it,100 Burpees
2016-07-09,"FT: Rows, Deficit Handstand Push Ups, Rows, 3 and  more",795000,false,false,72291,795000,13 mins 15 secs,"Subbed strict KB press for hspu, 2- 12kg","Row, 1000 m
20 Strict Press, 50 lbs
Row, 500 m
15 Strict Press, 50 lbs
Row, 250 m
10 Strict Press, 50 lbs"
2016-07-09,Every 1 min for 15 mins: Squat Snatch,655.44097465,true,false,11334,900000,1445 lbs,Missed 2nd to last rep,"Every 1 min for 15 mins:
1 Squat Snatch | 85 lbs
1 Squat Snatch | 90 lbs
1 Squat Snatch | 95 lbs
1 Squat Snatch | 100 lbs
1 Squat Snatch | 100 lbs
1 Squat Snatch | 100 lbs
1 Squat Snatch | 105 lbs
1 Squat Snatch | 105 lbs
1 Squat Snatch | 105 lbs
1 Squat Snatch | 110 lbs
1 Squat Snatch | 110 lbs
1 Squat Snatch | 110 lbs
1 Squat Snatch | 115 lbs
0 Squat Snatches | 115 lbs
1 Squat Snatch | 115 lbs"
2016-07-08,"5 RFT: Thrusters, Bent Over Barbell Rows and Toes-to-bars",1174000,true,false,27100,1174000,19 mins 34 secs,,"5 rounds of:
10 Thrusters, 80 lbs
10 Bent Over Barbell Rows, 80 lbs
10 Toes-to-bars"
2016-07-08,"AMRAP 15 mins: Double Unders, Handstand Walks, Kettlebell Deadlifts and Cartwheels",3.75,false,false,10200,900000,3 rounds + 30 Double Unders + 40 ft + 10 Kettlebell Deadlifts,Did  5 attempts each round for the handstand walk,"15:00 AMRAP:
30 Double Unders
Handstand Walk, 40 ft
10 Kettlebell Deadlifts, 53 lbs
Cartwheel, 40 ft"
2016-07-08,Run (Weighted) 1600 m TT,1245000,true,false,0,1245000,20 mins 45 secs,With 60 # sandbag,"Intervals
Run (Weighted), 1600 m | 20:45"
2016-07-06,Kettlebell Swing : 100 Reps for Time,384000,false,false,27045,384000,6 mins 24 secs,Forgot to read the description and did not do the squats,"100 Kettlebell Swings, 44 lbs"
2016-07-05,Badger,1949000,false,false,98591,1949000,32 mins 29 secs,Only 2 rounds,"2 rounds of:
30 Squat Cleans, 65 lbs
30 Pull-ups
Run, 800 m"
2016-07-02,1775,3.714,true,false,143291,3600000,3 rounds + 17 Power Cleans + 75 Air Squats + 200 m + 200 m + 200 m,Gump ,"60:00 AMRAP:
17 Power Cleans, 95 lbs
75 Air Squats
Barbell Carry, 45 lbs, 200 m
Run, 200 m
Plate Carry, 25 lbs, 200 m
Run, 200 m
Plate Carry, 25 lbs, 200 m"
2016-06-29,"AMRAP 10 mins: 400 m, Shoulder Taps, Jumping Squats and Pull-ups",2.25,false,false,43508,600000,2 rounds + 400 m,,"10:00 AMRAP:
Run, 400 m
12 Shoulder Taps
9 Jumping Squats
6 Pull-ups"
2016-06-29,Squat Clean + Back Squat + Front Squat : 1 Rep Max,70.30681735,true,false,0,,155 lbs | 155 lbs,"Tried 160 twice, missed transition to back","Sets
1 Squat Clean + Back Squat + Front Squat | 155 lbs"
2016-06-28,Every 3 mins for 9 mins: Tempo Back Squat,1317.68583485,true,false,0,540000,2905 lbs,,"Every 3 mins for 9 mins:
7 Tempo Back Squats | 125 lbs
7 Tempo Back Squats | 140 lbs
7 Tempo Back Squats | 150 lbs"
2016-06-28,FT: 3x Deadlifts and Muscle-ups; 3x Wall Balls and Toes-to-bars,1043000,false,false,32813,1043000,17 mins 23 secs,,"3 rounds of:
7 Deadlifts, 145 lbs
7 Chest-to-bar Pull-ups
-- then --
3 rounds of:
21 Wall Balls, 14 lbs
21 Leg Raises"
2016-06-15,"AMRAP 12 mins: GHD Sit-ups, Pull-ups and Bench Press",4.089,true,false,36487,720000,4 rounds + 4 GHD Sit-ups | 148 reps,"All pull-ups unbroken, sets of bench unbroken except for round 4 6-3","12:00 AMRAP:
15 GHD Sit-ups
12 Pull-ups
9 Bench Press, 95 lbs"
2016-06-15,Alt EMOM 12 mins: Kettlebell Swing (Russian)s and Burpees,52633,false,false,52633,720000,Completed,"72 on the kbs, ","Every 1 min for 12 mins, alternating between:
12 Kettlebell Swing (Russian)s, 72 lbs
12 Burpees"
2016-06-15,"3 RFT: 200 m, Good Mornings, Push-ups and Deadlifts",550000,true,false,41781,550000,9 mins 10 secs,,"3 rounds of:
Run, 200 m
10 Good Mornings, 55 lbs
10 Push-ups
10 Deadlifts, 55 lbs"
2016-06-14,Every 3 mins for 15 mins: Tempo Front Squat,850.48569375,true,false,0,900000,1875 lbs,,"Every 3 mins for 15 mins:
3 Tempo Front Squats | 105 lbs
3 Tempo Front Squats | 115 lbs
3 Tempo Front Squats | 125 lbs
3 Tempo Front Squats | 135 lbs
3 Tempo Front Squats | 145 lbs"
2016-06-14,"FT: 800 m, Muscle-ups, 400 m, 3 and  more",928000,false,false,64030,928000,15 mins 28 secs,,"Run, 800 m
16 Burpee Pull-ups
Run, 400 m
8 Burpee Pull-ups
Run, 200 m
4 Burpee Pull-ups"
2016-06-12,Every 1 min for 10 mins: Box Squat,1387.9926522,true,false,0,600000,3060 lbs,"I think I did it right, I could feel my hamstrings firing so I think so ","Every 1 min for 10 mins:
2 Box Squats | 125 lbs
2 Box Squats | 145 lbs
2 Box Squats | 150 lbs
2 Box Squats | 150 lbs
2 Box Squats | 155 lbs
2 Box Squats | 155 lbs
2 Box Squats | 160 lbs
2 Box Squats | 160 lbs
2 Box Squats | 165 lbs
2 Box Squats | 165 lbs"
2016-06-12,21-15-9: Deadlifts and Overhead Squats,594000,true,false,34743,594000,9 mins 54 secs,Deadlifts heavier than I thought they would be.  Could be the fatigue from the box squats ,"21-15-9 reps of:
Deadlift, 155 lbs
Overhead Squat, 95 lbs"
2016-06-10,Run 1 mi TT,504000,true,false,33888,504000,8 mins 24 secs,Felt great,"Intervals
Run, 1 mi | 8:24"
2016-06-10,"AMRAP 10 mins: Walking Lunges, Handstand Walks and Burpee Broad Jumps",2.5,false,false,1641,600000,2 rounds + 20 yd + 10 yd,Did handstand to forward roll for sub,"10:00 AMRAP:
Walking Lunge, 20 yd
Handstand Walk, 20 yd
Burpee Broad Jump, 20 yd"
2016-06-08,"Chipper: 400 m, Box Jumps, 800 m, and 5 more",2379000,true,false,107704,2379000,39 mins 39 secs,"","Run, 400 m
40 Box Jumps, 24 in
Run, 800 m
80 Hip Extensions
Run, 400 m
Wall Ball, 14 lbs, 9 in
Run, 800 m
80 GHD Sit-ups"
2016-06-07,Row : 250/500/750/1000/750/500/250 m,1014400,true,false,129637,1014400,16 mins 54.40000000000012 secs,Rested 3min between rounds,"Intervals : rest 3 mins
Row, 250 m | 0:57.5
Row, 500 m | 1:57.7
Row, 750 m | 3:11.5
Row, 1000 m | 4:29.5
Row, 750 m | 3:16.1
Row, 500 m | 2:04.7
Row, 250 m | 0:57.4"
2016-06-05,"AMReps 12 mins: Bench Press, 200 m, Bench Press, 8 and  more",31,false,false,35302,720000,31 reps,"Started at 95
","AMReps in 12 mins:
5 Bench Press, 95 lbs | 5 reps
Run, 200 m | 1 rep
5 Bench Press, 105 lbs | 5 reps
Run, 200 m | 1 rep
5 Bench Press, 115 lbs | 5 reps
Run, 200 m | 1 rep
5 Bench Press, 125 lbs | 5 reps
Run, 200 m | 1 rep
5 Bench Press, 135 lbs | 5 reps
Run, 200 m | 1 rep
5 Bench Press, 145 lbs | 1 rep"
2016-06-05,Every 1 min for 10 mins: Back Squat,1973.1268095,true,false,13233,600000,4350 lbs,,"Every 1 min for 10 mins:
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs
3 Back Squats | 145 lbs"
2016-06-03,"Every 4 mins for 20 mins: Deadlifts, Box Jumps and 200 m",5.0,false,false,52304,1200000,5.0 rounds,"1:35, 1:34, 1:28, 1:26, 1:21, maybe should have gone up a little on the deadlift 155 was easy but tried to really push on the run ","Every 4 mins for 20 mins:
5 Deadlifts, 155 lbs
7 Box Jumps, 24 in
Run, 200 m"
2016-06-03,Overhead Squat : 1 Rep Max,77.1107029,true,false,482,,170 lbs | 170 lbs,Jerk Pr as well ,"Sets
1 Overhead Squat | 170 lbs"
2016-05-31,Hang Squat Clean & Jerk 1 Rep,73.0,true,false,0,,73 kg | 73 kg,Little bit of a press out ,"Sets
1 Hang Squat Clean & Jerk | 73 kg"
2016-05-31,5 RFT: Rows and Squat Cleans,712000,true,false,61032,712000,11 mins 52 secs,,"5 rounds of:
Row, 250 m
3 Squat Cleans, 75% 1RM | 125 lbs"
2016-05-30,Murph,3328000,true,false,247016,3328000,55 mins 28 secs,"splits mile 1- 8:26, first 10 rounds 18:47, 2nd 10 18:27, 2nd mile 9:46.  Mile PR on first mile ","Run, 1 mi
100 Pull-ups
200 Push-ups
300 Air Squats
Run, 1 mi"
2016-05-27,Handstand Push-ups : Max Set,3,true,false,539,,3 reps,,"Sets
Handstand Push-up | 3 reps"
2016-05-27,Nicole,69,true,false,86604,1200000,"69 reps | 22, 11, 12, 13, and 11","First round was a new max rep max by 1,  five years ago this was the first wod I ever RXed with pull-ups, I've come a long way since then","20:00 AMRAP:
Run, 400 m
max rep Pull-ups"
2016-05-27,AMRAP 10 mins: GHD Sit-ups and Overhead Walking Lunges,5.167,true,false,23157,600000,5 rounds + 5 GHD Sit-ups,,"10:00 AMRAP:
15 GHD Sit-ups
Overhead Walking Lunge, 35 lbs, 40 ft"
2016-05-26,Bench Press 3-3-3-3-3-3-3-3,1387.9926522,true,false,5402,,"3060 lbs | 105 lbs, 115 lbs, 125 lbs, 130 lbs, 135 lbs, 140 lbs, 135 lbs, and 135 lbs",,"Sets
3 Bench Press | 105 lbs
3 Bench Press | 115 lbs
3 Bench Press | 125 lbs
3 Bench Press | 130 lbs
3 Bench Press | 135 lbs
3 Bench Press | 140 lbs
3 Bench Press | 135 lbs
3 Bench Press | 135 lbs"
2016-05-25,"FT: Power Snatches, Double Unders and Power Clean & Jerks",686000,true,false,45694,686000,11 mins 26 secs,"","20 Power Snatches, 95 lbs
200 Double Unders
20 Power Clean & Jerks, 95 lbs"
2016-05-24,"21-15-9: Thrusters, Burpee Over Bars and Pull-ups",697000,true,false,54668,697000,11 mins 37 secs,"Didn't think I would make the time cap, pull ups 11-5-5, 8-7, 9 ","21-15-9 reps of:
Thruster, 65 lbs
Burpee Over Bar
Pull-up"
2016-05-22,2016 CrossFit Games Regional Event 6,1287000,false,false,25652,1287000,21 mins 27 secs,Wanted to finish the workout so I let going.  Ohs unbroken,"Assault Bike, 1000 m
Handstand Hold, 1:40
10 Overhead Squats, 125 lbs
Row, 500 m
40 Burpee Box Jump Overs, 6 in
10 Burpee Box Jump Overs, 20 in
5 Overhead Squats, 125 lbs"
2016-05-21,2016 CrossFit Games Regional Event 5,864000,false,false,30375,864000,14 mins 24 secs,,"3 rounds of:
Run (TrueForm), 400 m
40 AbMat Sit-ups
7 Deadlifts, 185 lbs"
2016-05-21,"""Tabata"" - Airdyne Bike : 16 x 15 secs / 15 secs",3540.5568,true,false,0,,2.2 mi,Don't know splits,Tabata Airdyne Bike
2016-05-18,Double Unders : 200 Reps for Time,242000,true,false,17200,242000,4 mins 2 secs,,200 Double Unders
2016-05-18,AMRAP 10 mins: Rows and Burpee Over Boxes,3.55,true,false,23977,600000,3 rounds + 200 m + Burpee Over Box,Subbed run for row,"10:00 AMRAP:
Run, 200 m
10 Burpee Over Boxes, 12 in"
2016-05-18,Every 1 min for 10 mins: Wall Balls and Chest-to-bar Pull-ups,10.0,false,false,34687,600000,10.0 rounds,"Cut it down to two pull-ups, wanted to quit after round 5","Every 1 min for 10 mins:
10 Wall Balls, 14 lbs
2 Chest-to-bar Pull-ups"
2016-05-10,"5 RFT: 400 m, Overhead Squats and Muscle-ups",1140000,false,false,47259,1140000,19 mins,,"3 rounds of:
Run, 400 m
10 Overhead Squats, 105 lbs
8 Muscle-Up (banded)s"
2016-05-10,"Lifting: Strict Press, Push Press and Push Jerks",2551.45708125,true,false,9930,,"5625 lbs | 65 lbs, 70 lbs, 75 lbs, 80 lbs, 85 lbs, 65 lbs, 70 lbs, 75 lbs, 80 lbs, 85 lbs, 65 lbs, 70 lbs, 75 lbs, 80 lbs, and 85 lbs","Last set of jerks had to break up 3-2, failed on the fourth rep","Sets
5 Strict Press | 65 lbs
5 Strict Press | 70 lbs
5 Strict Press | 75 lbs
5 Strict Press | 80 lbs
5 Strict Press | 85 lbs
5 Push Press | 65 lbs
5 Push Press | 70 lbs
5 Push Press | 75 lbs
5 Push Press | 80 lbs
5 Push Press | 85 lbs
5 Push Jerks | 65 lbs
5 Push Jerks | 70 lbs
5 Push Jerks | 75 lbs
5 Push Jerks | 80 lbs
5 Push Jerks | 85 lbs"
2016-05-09,Strict Pull-ups : Max Set,5,true,false,1389,,5 reps,"","Sets
Strict Pull-up | 5 reps"
2016-05-08,Handstand Push-up Skill Session : 1x 900 secs,,false,false,0,,Completed,"Alt emom 2 kipping hspu from ground, 30 sec practice holding free handstand","Sets
Handstand Push-up Skill Session, 15 mins"
2016-05-08,3 RFT: Wall Balls and Squat Snatches,1253000,true,false,65332,1253000,20 mins 53 secs,,"3 rounds of:
50 Wall Balls, 14 lbs
10 Squat Snatches, 95 lbs"
2016-05-07,"Chipper: 400 m, Snatches, 400 m, 4 and  more",1215000,false,false,52177,1215000,20 mins 15 secs,,"Run, 400 m
20 Snatches, 95 lbs
Run, 400 m
20 Muscle-Up (banded)s
Run, 400 m
10 Toes-to-bars"
2016-05-07,Every 1 min for 10 mins: Strict Handstand Push-up,1838,false,false,1838,600000,Completed,"4 skull mats on first three rounds then went to 5, just over a three inch lift","Every 1 min for 10 mins:
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up
1 Strict Handstand Push-up"
2016-05-06,"AMReps 13 mins: Wall Balls, Sumo Deadlift High-pulls, Wall Balls, 3 and  more",184,true,false,55793,780000,184 reps,,"AMReps in 13 mins:
Wall Ball, 14 lbs, 1 min | 20 reps
Sumo Deadlift High-pull, 55 lbs, 1 min | 16 reps
Wall Ball, 14 lbs, 2 mins | 30 reps
Sumo Deadlift High-pull, 55 lbs, 2 mins | 30 reps
Wall Ball, 14 lbs, 3 mins | 46 reps
Sumo Deadlift High-pull, 55 lbs, 3 mins | 42 reps"
2016-05-06,Every 1 min for 7 mins: Pistols and Ring Dips,7.0,false,false,7915,420000,7.0 rounds,"Cut down to 4 and 1, all dips unassisted!","Every 1 min for 7 mins:
4 Pistols
1 Ring Dip"
2016-05-04,Fran,295000,true,false,32206,295000,4 mins 55 secs,"Major improvement especially on pull-ups, all thrusters unbroken pull ups 12-4-5,5-5-5, 9 holding on for the last nine was tough but I had to get sub 5!","21-15-9 reps of:
Thruster, 65 lbs
Pull-up"
2016-05-03,"Lifting: Strict Press, Push Press and Push Jerks",2347.34051475,true,false,9136,,"5175 lbs | 55 lbs, 65 lbs, 70 lbs, 75 lbs, 80 lbs, 55 lbs, 65 lbs, 70 lbs, 75 lbs, 80 lbs, 55 lbs, 65 lbs, 70 lbs, 75 lbs, and 80 lbs",,"Sets
5 Strict Press | 55 lbs
5 Strict Press | 65 lbs
5 Strict Press | 70 lbs
5 Strict Press | 75 lbs
5 Strict Press | 80 lbs
5 Push Press | 55 lbs
5 Push Press | 65 lbs
5 Push Press | 70 lbs
5 Push Press | 75 lbs
5 Push Press | 80 lbs
5 Push Jerks | 55 lbs
5 Push Jerks | 65 lbs
5 Push Jerks | 70 lbs
5 Push Jerks | 75 lbs
5 Push Jerks | 80 lbs"
2016-05-03,AMRAP 10 mins: Back Squats and Legless Rope Climbs,5.5,false,false,12000,600000,5 rounds + 3 Back Squats | 33 reps,Subbed 3 strict pull-ups and 3 strict toes to bar for the rope climbs,"10:00 AMRAP:
3 Back Squats | 135 lbs
3 Strict Pull-ups"
2016-05-01,Handstand Push-ups : Max Set,4,true,false,735,,4 reps,"Kipping, head all the way to the ground","Sets
Handstand Push-up | 4 reps"
2016-05-01,"5 RFT: Dumbbell Deadlifts, Dumbbell Hang Squat Cleans and Dumbbell Push Jerks",590000,true,false,28364,590000,9 mins 50 secs,"Only got in 4 rds, that was way harder than I thought it would be","4 rounds of:
12 Dumbbell Deadlifts, 35 lbs
9 Dumbbell Hang Squat Cleans, 35 lbs
6 Dumbbell Push Jerks, 35 lbs"
2016-05-01,AMRAP 12 mins: GHD Sit-ups and Double Unders,7.0,true,false,60131,720000,7 rounds | 455 reps,Great dub day,"12:00 AMRAP:
15 GHD Sit-ups
50 Double Unders"
2016-04-30,Amanda,713000,false,false,16293,713000,11 mins 53 secs,Banded MUs,"9-7-5 reps of:
Muscle-Up (banded)
Squat Snatch, 95 lbs"
2016-04-30,Every 1 min for 15 mins: Clean & Jerk,893.5769689,true,false,15598,900000,1970 lbs,,"Every 1 min for 15 mins:
1 Clean & Jerk | 95 lbs
1 Clean & Jerk | 105 lbs
1 Clean & Jerk | 115 lbs
1 Clean & Jerk | 125 lbs
1 Clean & Jerk | 125 lbs
1 Clean & Jerk | 130 lbs
1 Clean & Jerk | 130 lbs
1 Clean & Jerk | 135 lbs
1 Clean & Jerk | 135 lbs
1 Clean & Jerk | 140 lbs
1 Clean & Jerk | 140 lbs
1 Clean & Jerk | 145 lbs
1 Clean & Jerk | 145 lbs
1 Clean & Jerk | 150 lbs
1 Clean & Jerk | 155 lbs"
2016-04-29,Strict Pull-ups : Max Set,4,true,false,1137,,4 reps,"","Sets
Strict Pull-up | 4 reps"
2016-04-29,The Seven,2055000,false,false,76409,2055000,34 mins 15 secs,"30 seconds faster than last time, could have gone faster but I was at a globo gym and could not drop weights and pull up bar was weird so singles and minimal kipping on the knees to elbows and pull-ups","5 rounds of:
7 Handstand Push Ups
7 Thrusters, 75 lbs
7 Knees To Elbows
7 Deadlifts, 155 lbs
7 Burpees
7 Kettlebell Swings, 1 pood
7 Pull-ups"
2016-04-27,"""Tabata"" - Sumo Deadlift High-pulls, Shoulder-to-Overheads, AbMat Sit-ups, 3 and  more : 8 x 20 secs / 10 secs",558,true,false,97559,1440000,558 reps | 75 + 80 + 103 + 34 + 107 + 159,,"Tabata Sumo Deadlift High-pull, 55 lbs | 13,12,8,8,9,8,8,9
Tabata Shoulder-to-Overhead, 55 lbs | 12,11,11,10,8,10,8,10
Tabata AbMat Sit-up | 14,14,13,13,13,12,12,12
Tabata Push-up | 7,5,4,3,4,3,4,4
Tabata Air Squat | 15,15,14,11,11,12,14,15
Tabata Double Under | 28,10,23,26,20,15,17,20"
2016-04-26,"3 RFT: 200 m, Overhead Walking Lunges and Double Unders",390000,false,false,26683,390000,6 mins 30 secs,,"3 rounds of:
Run, 200 m
Overhead Walking Lunge, 30 lbs, 40 ft
30 Double Unders"
2016-04-26,Nancy,1005000,true,false,83690,1005000,16 mins 45 secs,"Inside, so bar close to run end/begin","5 rounds of:
Run, 400 m
15 Overhead Squats, 65 lbs"
2016-04-26,AMReps 2 mins: Back Squat,15,true,false,6931,120000,15 reps,Set of 9 and a set of 6,"AMReps in 2 mins:
Back Squat, 155 lbs | 15 reps"
2016-04-26,Lifting: Weighted Strict Pull-ups and Weighted Strict Ring Dips,0.0,false,false,0,,"0 lbs | lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, and lbs","Did on an assist machine at a globo gym,  surprised myself on the first set.  Thought I was using 40lbs of assistance but it was only 16lbs,  all dips on bars unassisted for first five rounds then used the 16lbs for the last set","Sets
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs"
2016-04-23,"AMRAP 8 mins: Overhead Walking Lunges, Single Arm High Pulls and V-ups",3.0,true,false,0,480000,3 rounds,,"8:00 AMRAP:
Overhead Walking Lunge, 40 ft
20 Single Arm High Pulls
10 V-ups"
2016-04-23,Lifting: Weighted Strict Pull-ups and Weighted Strict Ring Dips,0.0,false,false,0,,"0 lbs | lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, and lbs","Pull-ups with small blue band, first two rounds of dips with small orange band and last three with small red","Sets
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs"
2016-04-23,5 RFT: Squat Snatches and Burpee Over Bars,900000,true,false,59021,900000,15 mins,Only 4 rounds in time cap,"4 rounds of:
15 Squat Snatches, 55 lbs
12 Burpee Over Bars"
2016-04-23,"""Death By"" - Handstand Push-ups and Toes-to-bars : 1 rep + 1 rep / 1 min",15.889,false,false,15616,540000,15 + (8 Push-ups),Just regular push upsWanted to quite after 6,"""Death By"" : 1 rep + 1 rep / 1 min
Push-up : 8 rounds + 8 reps
Toes-to-bar : 7 rounds"
2016-04-22,Muscle-ups : 30 Reps for Time,420000,false,false,0,420000,7 mins,17 in time cap,17 Muscle-Up (banded)s
2016-04-22,Kelly,1633000,true,false,145998,1633000,27 mins 13 secs,"8 ft target due to ceiling height, step ups for the box so I could keep a decent pace","5 rounds of:
Run, 400 m
30 Box Jumps, 20 in
30 Wall Balls, 14 lbs"
2016-04-20,"AMRAP 15 mins: Front Squats, Pull-ups and Box Jumps",4.578,true,false,47923,900000,4 rounds + 5 Front Squats + 11 Pull-ups | 156 reps,First two sets of pull-ups unbroken!! Squats from rack,"15:00 AMRAP:
5 Front Squats, 120 lbs
15 Pull-ups
15 Box Jumps, 20 in"
2016-04-20,Every 15 secs for 4 mins: Deadlift,8695,false,false,8695,240000,Completed,,"Every 15 secs for 4 mins:
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 235 lbs
1 Deadlift, 85% 1RM | 205 lbs
1 Deadlift, 85% 1RM | 205 lbs
1 Deadlift, 85% 1RM | 205 lbs
1 Deadlift, 85% 1RM | 205 lbs
1 Deadlift, 85% 1RM | 205 lbs
1 Deadlift, 85% 1RM | 205 lbs
1 Deadlift, 85% 1RM | 205 lbs
1 Deadlift, 85% 1RM | 205 lbs"
2016-04-19,Lifting: Weighted Strict Pull-ups and Weighted Strict Ring Dips,0.0,false,false,0,,"0 lbs | lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, lbs, and lbs",Still with small blue for pull ups and small red for dips.  Tried small orange and could only get 3,"Sets
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Pull-ups |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs
5 Weighted Strict Ring Dips |  lbs"
